id;motif;lieu;"date départ";"date retour";etat
255;5;7;"02/05/2018 04:03";"02/03/2024 01:01";valide
256;8;7;"04/03/2018 02:04";"04/07/2024 02:02";valide
257;6;4;"05/03/2018 04:06";"04/03/2023 05:01";valide
259;5;4;"04/03/2018 04:05";"05/06/2025 03:02";valide
260;;;"07/04/2018 04:04";"05/04/2024 08:04";valide
261;;;"07/04/2018 04:04";"05/04/2024 08:04";valide
262;;;"07/04/2018 04:04";"05/04/2024 08:04";valide
263;;;"07/04/2018 04:04";"05/04/2024 08:04";valide
264;;;"07/04/2018 04:04";"05/04/2024 08:04";valide
265;;;"07/04/2018 04:04";"05/04/2024 08:04";valide
273;1;4;"04/03/2018 01:02";"03/03/2024 02:02";valide
296;6;9;"05/07/2018 05:08";"05/03/2020 04:03";soumis
299;;;"03/03/2018 03:04";"03/04/2022 03:03";valide
300;;;"03/03/2018 03:04";"03/04/2022 03:03";soumis
301;;;"03/03/2018 03:04";"03/04/2022 03:03";soumis
302;3;7;"03/03/2018 03:04";"03/04/2022 03:03";valide
303;3;7;"03/03/2018 03:04";"03/04/2022 03:03";soumis
342;1;1;"02/03/2018 03:01";"03/04/2023 04:01";valide
456;4;5;"03/04/2018 04:04";"04/01/2022 05:02";soumis
457;4;5;"03/04/2018 04:04";"04/01/2022 05:02";soumis
458;4;5;"03/04/2018 04:04";"04/01/2022 05:02";soumis
459;4;5;"03/04/2018 04:04";"04/01/2022 05:02";soumis
